Set No.,Tune No.,Tune Title,Learning Video,Genre,Added,Rhythm,Key,Mode,Part
1,1,The Lilting Banshee,https://youtu.be/SHIHGcLt_WA,Irish,19/10/2021,Double Jig,A,Dorian,2
1,2,Christy Barry's Jig,https://youtu.be/kobiQ85UX5M,Irish,20/10/2021,Double Jig,G,Major,2
2,3,Off to California,https://youtu.be/Drs0pbBEqUI,Irish,21/10/2021,Hornpipe,G,Major,2
2,4,The Boys of Bluehill,https://youtu.be/ebeq4PSiQf0,Irish,22/10/2021,Hornpipe,D,Major,2
3,5,The Butterfly,https://youtu.be/SRg2wFzHAUw,Irish,23/10/2021,Slip Jig,E,minor,3
4,6,The Road to Lisdoonvarna,https://youtu.be/CnzJUMaKxg0,Irish,25/10/2021,Slide,E,Dorian,2
5,7,John Egan's Polka,https://youtu.be/vk-Eg1WcV-s,Irish,26/10/2021,Polka,D,Major,2
5,8,The Britches Full of Stitches,https://youtu.be/NmKWM3vMbyE,Irish,27/10/2021,Polka,G,Major,2
6,9,Rolling in the Ryegrass,https://youtu.be/JG4OMNkKjQ4,Irish,28/10/2021,Single Reel,D,Major,2
6,10,Drowsy Maggie,https://youtu.be/QcVbQOUNgRM,Irish,29/10/2021,Single Reel,E,Dorian,2
7,11,The Sally Gardens,https://youtu.be/ispQQ5GMzjc,Irish,1/11/2021,Double Reel,G,Major,2
7,12,The Hunter's Purse,https://youtu.be/3Ey_3gRQWFk,Irish,2/11/2021,Double Reel,A,Dorian,2
8,13,Sonny Brogan's,https://youtu.be/Y04M53YgdnQ,Irish,3/11/2021,Mazurka,D,Major,2
8,14,Vincent Campbell's,https://youtu.be/MSQYCdCnQGM,Irish,4/11/2021,Mazurka,G,Major,2
9,15,Lucy Farr's,https://youtu.be/fRAdtqwGOCI,Irish,5/11/2021,Barndance,G,Major,2
9,16,Kilnamona Barndance,https://youtu.be/wt8IgxWDm6U,Irish,8/11/2021,Barndance,G,Major,2
10,17,Creig's Pipes,https://youtu.be/ZPUt26COP4o,Irish,9/11/2021,Single Reel,G,Major,3
10,18,The Musical Priest,https://youtu.be/Yh2XW5TgJZo,Irish,10/11/2021,Single Reel,B,minor,3
